group,apiVersion,preferredVersion,package,file
core,v1,true,io.k8s.api.core,api__v1_openapi.json
admissionregistration.k8s.io,v1,true,io.k8s.api.admissionregistration,apis__admissionregistration.k8s.io__v1_openapi.json
admissionregistration.k8s.io,v1alpha1,false,io.k8s.api.admissionregistration,apis__admissionregistration.k8s.io__v1alpha1_openapi.json
admissionregistration.k8s.io,v1beta1,false,io.k8s.api.admissionregistration,apis__admissionregistration.k8s.io__v1beta1_openapi.json
apiextensions.k8s.io,v1,true,io.k8s.apiextensions-apiserver.pkg.apis.apiextensions,apis__apiextensions.k8s.io__v1_openapi.json
apiregistration.k8s.io,v1,true,io.k8s.kube-aggregator.pkg.apis.apiregistration,apis__apiregistration.k8s.io__v1_openapi.json
apps,v1,true,io.k8s.api.apps,apis__apps__v1_openapi.json
authentication.k8s.io,v1,true,io.k8s.api.authentication,apis__authentication.k8s.io__v1_openapi.json
authorization.k8s.io,v1,true,io.k8s.api.authorization,apis__authorization.k8s.io__v1_openapi.json
autoscaling,v1,false,io.k8s.api.autoscaling,apis__autoscaling__v1_openapi.json
autoscaling,v2,true,io.k8s.api.autoscaling,apis__autoscaling__v2_openapi.json
batch,v1,true,io.k8s.api.batch,apis__batch__v1_openapi.json
certificates.k8s.io,v1,true,io.k8s.api.certificates,apis__certificates.k8s.io__v1_openapi.json
certificates.k8s.io,v1alpha1,false,io.k8s.api.certificates,apis__certificates.k8s.io__v1alpha1_openapi.json
certificates.k8s.io,v1beta1,false,io.k8s.api.certificates,apis__certificates.k8s.io__v1beta1_openapi.json
coordination.k8s.io,v1,true,io.k8s.api.coordination,apis__coordination.k8s.io__v1_openapi.json
coordination.k8s.io,v1alpha2,false,io.k8s.api.coordination,apis__coordination.k8s.io__v1alpha2_openapi.json
coordination.k8s.io,v1beta1,false,io.k8s.api.coordination,apis__coordination.k8s.io__v1beta1_openapi.json
discovery.k8s.io,v1,true,io.k8s.api.discovery,apis__discovery.k8s.io__v1_openapi.json
events.k8s.io,v1,true,io.k8s.api.events,apis__events.k8s.io__v1_openapi.json
flowcontrol.apiserver.k8s.io,v1,true,io.k8s.api.flowcontrol,apis__flowcontrol.apiserver.k8s.io__v1_openapi.json
internal.apiserver.k8s.io,v1alpha1,false,io.k8s.api.apiserverinternal,apis__internal.apiserver.k8s.io__v1alpha1_openapi.json
networking.k8s.io,v1,true,io.k8s.api.networking,apis__networking.k8s.io__v1_openapi.json
networking.k8s.io,v1beta1,false,io.k8s.api.networking,apis__networking.k8s.io__v1beta1_openapi.json
node.k8s.io,v1,true,io.k8s.api.node,apis__node.k8s.io__v1_openapi.json
policy,v1,true,io.k8s.api.policy,apis__policy__v1_openapi.json
rbac.authorization.k8s.io,v1,true,io.k8s.api.rbac,apis__rbac.authorization.k8s.io__v1_openapi.json
resource.k8s.io,v1,true,io.k8s.api.resource,apis__resource.k8s.io__v1_openapi.json
resource.k8s.io,v1alpha3,false,io.k8s.api.resource,apis__resource.k8s.io__v1alpha3_openapi.json
resource.k8s.io,v1beta1,false,io.k8s.api.resource,apis__resource.k8s.io__v1beta1_openapi.json
resource.k8s.io,v1beta2,false,io.k8s.api.resource,apis__resource.k8s.io__v1beta2_openapi.json
scheduling.k8s.io,v1,true,io.k8s.api.scheduling,apis__scheduling.k8s.io__v1_openapi.json
storage.k8s.io,v1,true,io.k8s.api.storage,apis__storage.k8s.io__v1_openapi.json
storage.k8s.io,v1alpha1,false,io.k8s.api.storage,apis__storage.k8s.io__v1alpha1_openapi.json
storage.k8s.io,v1beta1,false,io.k8s.api.storage,apis__storage.k8s.io__v1beta1_openapi.json
storagemigration.k8s.io,v1alpha1,false,io.k8s.api.storagemigration,apis__storagemigration.k8s.io__v1alpha1_openapi.json
